step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
460,62,6359,88.31944444,1.731454907,62,10163,0.084407448,62,10163
465,62,6669,88.92,2.020751079,62,10473,0.094817596,62,10473
470,60,6785,89.27631579,1.921731848,60,10681,0.087468706,60,10681
475,54,6972,92.96,2.468349232,54,10820,0.108311238,54,10820
480,58,7254,95.44736842,2.845009173,58,11017,0.085422168,58,11017
485,53,7481,98.43421053,2.624343876,53,11266,0.092889473,53,11266
490,54,7751,104.7432432,3.008319008,54,11510,0.108828879,54,11510
495,56,8024,108.4324324,3.271022309,56,11783,0.094188178,56,11783
500,56,8304,116.9577465,2.827709093,56,12063,0.092709638,56,12063
505,52,8519,123.4637681,2.232928095,52,12297,0.11236424,52,12297
510,55,8786,125.5142857,2.50593992,55,12545,0.112687628,55,12545
515,58,9070,129.5714286,2.089312098,58,12829,0.063478246,58,12829
520,56,9316,127.6164384,2.057108188,56,13094,0.096622261,56,13094
525,55,9590,137,2.527321054,55,13349,0.089946422,55,13349
530,56,9866,131.5466667,3.229564086,56,13625,0.088475765,56,13625
535,57,10150,142.9577465,2.583814245,57,13909,0.089396542,57,13909
540,54,10393,150.6231884,1.76894461,54,14161,0.078159439,54,14161
545,57,10674,154.6956522,2.065024157,57,14433,0.075617846,57,14433
550,60,10966,152.3055556,1.945741527,60,14725,0.082980316,60,14725
555,57,11213,160.1857143,1.410577444,57,15000,0.078951313,57,15000
560,56,11487,157.3561644,2.472806671,56,15252,0.107050113,56,15252
565,56,11767,156.8933333,3.028753486,56,15526,0.08823482,56,15526
570,58,12056,165.1506849,2.729587216,58,15815,0.083818689,58,15815
575,58,12346,178.9275362,1.948729007,58,16105,0.071744487,58,16105
580,54,12553,171.9589041,2.118089372,54,16341,0.128121503,54,16341
585,58,12837,178.2916667,2.171677893,58,16596,0.085339818,58,16596
590,62,13138,168.4358974,2.295386957,62,16897,0.082995985,62,16897
595,58,13390,180.9459459,1.867501653,58,17181,0.085955013,58,17181
600,56,13661,184.6081081,2.319681332,56,17429,0.104519923,56,17429
605,58,13945,183.4868421,3.122578467,58,17704,0.085703773,58,17704
610,56,14221,189.6133333,2.515136855,56,17980,0.088206665,56,17980
615,60,14517,201.625,2.136996113,60,18276,0.084835191,60,18276
620,61,14818,200.2432432,1.684423668,61,18577,0.077822135,61,18577
625,64,15134,207.3150685,1.602178666,64,18893,0.077752331,64,18893
630,58,15357,202.0657895,1.630974268,58,19168,0.082218717,58,19168
