step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.54270381707677,0,0.0,0.8886178579251099,0,0.0
10.0,0,0.0,0.0,11.399317544029826,0,0.0,0.8197408250251321,0,0.0
15.0,3,5.0,0.2777777777777778,7.148835272034298,3,5.0,0.4045808482733723,3,5.0
20.0,6,33.0,1.8333333333333333,7.962275615475467,6,33.0,0.4778866903405942,6,33.0
25.0,7,64.0,2.6666666666666665,8.128747961330705,7,64.0,0.4096247616652518,7,64.0
30.0,10,108.0,5.4,6.36056591825539,10,108.0,0.31491844210930203,10,108.0
35.0,6,123.0,5.857142857142857,3.8815188860624907,6,134.0,0.2570383465913589,6,134.0
40.0,8,158.0,6.076923076923077,7.450404892021802,8,158.0,0.48045817680121106,8,158.0
45.0,8,198.0,6.6,8.948856999516051,8,198.0,0.5204934961392138,8,198.0
50.0,10,241.0,8.925925925925926,6.690202010019682,10,241.0,0.3180300163531664,10,241.0
55.0,10,264.0,9.428571428571429,5.6693629009021445,10,269.0,0.3262291949037026,10,269.0
60.0,14,325.0,13.541666666666666,5.242609400157673,14,325.0,0.20741153283864644,14,325.0
65.0,15,397.0,13.233333333333333,5.362069684617435,15,397.0,0.24365542338444168,15,397.0
70.0,12,421.0,16.192307692307693,4.388727229088421,12,452.0,0.2556273997986272,12,452.0
75.0,11,466.0,12.944444444444445,6.719827717753577,11,473.0,0.41857221255745214,11,473.0
80.0,12,526.0,14.61111111111111,8.584690110034233,12,526.0,0.46908535918032607,12,526.0
85.0,14,589.0,15.5,6.670794205429642,14,589.0,0.29659447053767185,14,589.0
90.0,16,643.0,20.741935483870968,5.329095721741538,16,645.0,0.25431018619594153,16,645.0
95.0,16,723.0,21.264705882352942,6.128049551522671,16,723.0,0.2609085767300021,16,723.0
100.0,19,813.0,25.40625,4.809801364458892,19,813.0,0.2229458737323205,19,813.0
105.0,16,883.0,26.757575757575758,4.521779811030752,16,891.0,0.2603694786614543,16,891.0
110.0,16,963.0,26.75,5.687303860498456,16,963.0,0.32277411204069456,16,963.0
115.0,18,1052.0,27.68421052631579,6.788340547296133,18,1052.0,0.33894563316636445,18,1052.0
120.0,18,1142.0,31.72222222222222,4.29019282960511,18,1142.0,0.13245992065699572,18,1142.0
125.0,20,1219.0,34.82857142857143,4.420181631478207,20,1222.0,0.2519302819977782,20,1222.0
130.0,23,1324.0,38.94117647058823,3.7469941886616644,23,1324.0,0.1850624633879243,23,1324.0
135.0,24,1443.0,37.973684210526315,3.9957341281257284,24,1443.0,0.16657562206545118,24,1443.0
140.0,22,1523.0,42.30555555555556,3.5798521962051657,22,1543.0,0.19936278257220702,22,1543.0
145.0,20,1619.0,39.48780487804878,5.048380626990455,20,1623.0,0.2716436496015331,20,1623.0
150.0,22,1728.0,37.56521739130435,6.656729060712358,22,1728.0,0.31343277335192954,22,1728.0
155.0,24,1842.0,44.926829268292686,4.27198762347432,24,1842.0,0.1683295716585049,24,1842.0
160.0,27,1947.0,46.357142857142854,3.1944684166416573,27,1950.0,0.16257503521161085,27,1950.0
165.0,29,2091.0,52.275,3.4415534964731647,29,2091.0,0.14712285922137622,29,2091.0
170.0,30,2238.0,49.733333333333334,3.688626898910165,30,2238.0,0.14867780613100542,30,2238.0
175.0,27,2341.0,57.09756097560975,2.732698376111886,27,2365.0,0.14360342418126396,27,2365.0
180.0,26,2466.0,57.348837209302324,3.3692544432530473,26,2471.0,0.15278628180257378,26,2471.0
185.0,28,2606.0,53.183673469387756,5.278274395095716,28,2606.0,0.23772509185243984,28,2606.0
190.0,29,2748.0,56.08163265306123,4.35756236465324,29,2748.0,0.1364328241915544,29,2748.0
195.0,30,2878.0,62.56521739130435,3.88667974290793,30,2879.0,0.16609657143969656,30,2879.0
200.0,33,3033.0,65.93478260869566,3.6247733741285737,33,3033.0,0.13991113761397084,33,3033.0
205.0,34,3203.0,69.6304347826087,3.5514107906434114,34,3203.0,0.1314219524221806,34,3203.0
210.0,30,3328.0,72.34782608695652,2.6778270659976076,30,3346.0,0.14464379218715884,30,3346.0
215.0,30,3478.0,79.04545454545455,3.6984881625778527,30,3478.0,0.16406215276102473,30,3478.0
220.0,32,3632.0,64.85714285714286,5.171589360002258,32,3632.0,0.23488675680858515,32,3632.0
225.0,34,3794.0,72.96153846153847,3.930401959470387,34,3794.0,0.17042686012922545,34,3794.0
230.0,35,3949.0,74.50943396226415,3.030403102517086,35,3949.0,0.17376362029421602,35,3949.0
235.0,39,4134.0,82.68,2.522520869872388,39,4134.0,0.12116773971451562,39,4134.0
240.0,41,4336.0,80.29629629629629,2.342968797701675,41,4336.0,0.09822442617149127,41,4336.0
245.0,38,4495.0,86.4423076923077,2.366379206883992,38,4522.0,0.1299129666537261,38,4522.0
250.0,36,4668.0,83.35714285714286,3.573602744105688,36,4675.0,0.15709391021032984,36,4675.0
255.0,37,4849.0,80.81666666666666,4.3595498845549905,37,4849.0,0.17015085475162298,37,4849.0
260.0,42,5047.0,84.11666666666666,3.878999403765855,42,5047.0,0.13960811774492382,42,5047.0
265.0,42,5257.0,93.875,3.0761549927972536,42,5257.0,0.1279618950353489,42,5257.0
270.0,44,5474.0,97.75,2.6136726969528765,44,5474.0,0.12853701927898448,44,5474.0
275.0,41,5638.0,102.50909090909092,2.3558121322164065,41,5651.0,0.09923163564855272,41,5651.0
280.0,41,5843.0,99.03389830508475,3.3906586325292665,41,5843.0,0.15239582171404217,41,5843.0
285.0,43,6051.0,106.15789473684211,2.4653699262529,43,6051.0,0.10072487187129067,43,6051.0
290.0,41,6237.0,97.453125,3.1224193674703082,41,6249.0,0.1948781408626995,41,6249.0
295.0,46,6454.0,102.44444444444444,3.0503141316379057,46,6454.0,0.15679511830801904,46,6454.0
300.0,48,6686.0,102.86153846153846,3.1790839169798466,48,6686.0,0.12099827516502089,48,6686.0
305.0,50,6932.0,105.03030303030303,3.1643703753995602,50,6932.0,0.10076456271596834,50,6932.0
310.0,50,7182.0,114.0,2.521673753409,50,7182.0,0.0941619878791006,50,7182.0
315.0,47,7359.0,116.80952380952381,2.103351025280386,47,7384.0,0.10345751703252995,47,7384.0
320.0,48,7599.0,120.61904761904762,2.8734079555972505,48,7599.0,0.13484800047367596,48,7599.0
325.0,50,7843.0,115.33823529411765,2.559513802646105,50,7843.0,0.09616378900986775,50,7843.0
330.0,48,8054.0,122.03030303030303,1.8947753230685953,48,8072.0,0.06337611614474413,48,8072.0
335.0,48,8294.0,125.66666666666667,2.8792558296224735,48,8294.0,0.11665016017560338,48,8294.0
340.0,50,8539.0,129.37878787878788,3.1545832978723114,50,8539.0,0.10018947643704916,50,8539.0
345.0,49,8775.0,130.97014925373134,3.092897345968528,49,8775.0,0.11441276990129516,49,8775.0
350.0,51,9025.0,145.56451612903226,2.2023121217895745,51,9025.0,0.08297596114319726,51,9025.0
355.0,54,9285.0,142.84615384615384,2.0633594105097854,54,9285.0,0.09154489682772017,54,9285.0
360.0,49,9499.0,153.20967741935485,1.2007231916256906,49,9525.0,0.0595209092698643,49,9525.0
365.0,50,9740.0,141.15942028985506,2.903897714105985,50,9745.0,0.14275071837983014,50,9745.0
370.0,50,9990.0,144.7826086956522,3.293360080631135,50,9990.0,0.10536478969825637,50,9990.0
375.0,53,10248.0,146.4,2.8907284787169005,53,10248.0,0.10181753242842514,53,10248.0
380.0,54,10518.0,161.8153846153846,2.1773093624541713,54,10518.0,0.09339079401454559,54,10518.0
385.0,55,10789.0,158.66176470588235,2.384511677784117,55,10789.0,0.11894659205456755,55,10789.0
390.0,56,11068.0,167.6969696969697,2.0097951969092454,56,11068.0,0.08881715841003687,56,11068.0
395.0,51,11220.0,162.6086956521739,1.8245240395783269,51,11277.0,0.07155350566998422,51,11277.0
400.0,53,11482.0,168.85294117647058,2.5444814501343576,53,11483.0,0.10280218490378921,53,11483.0
405.0,54,11749.0,165.4788732394366,2.47310268986143,54,11749.0,0.09294147972361741,54,11749.0
410.0,52,11975.0,171.07142857142858,2.2010277378929692,52,11999.0,0.0977908793241669,52,11999.0
415.0,52,12228.0,177.2173913043478,2.507899313179119,52,12233.0,0.11992515692765308,52,12233.0
420.0,52,12488.0,183.64705882352942,2.6596942616051047,52,12488.0,0.06803198310967766,52,12488.0
425.0,54,12757.0,179.67605633802816,2.957420756975845,54,12757.0,0.11338149518735847,54,12757.0
430.0,52,12971.0,199.55384615384617,1.8871499313528715,52,12986.0,0.08962452426357208,52,12986.0
435.0,53,13232.0,186.3661971830986,2.5717292752381793,53,13232.0,0.12262627175666761,53,13232.0
440.0,56,13507.0,192.95714285714286,2.2941511619708614,56,13507.0,0.10715387005297822,56,13507.0
445.0,52,13726.0,190.63888888888889,2.0558917657010434,52,13756.0,0.12689469716295634,52,13756.0
450.0,54,13992.0,199.88571428571427,2.3643426969048518,54,13992.0,0.11580665648138314,54,13992.0
455.0,54,14262.0,192.72972972972974,3.129383045830928,54,14262.0,0.11298640834005666,54,14262.0
460.0,56,14537.0,201.90277777777777,2.7052095322329106,56,14537.0,0.08658528421368213,56,14537.0
465.0,50,12182.0,169.19444444444446,2.88790850638072,50,13907.0,0.13990173501197994,50,13907.0
470.0,44,8662.0,127.38235294117646,2.7664332479267366,44,12409.0,0.1303281100366563,44,12409.0
475.0,39,6468.0,92.4,3.6911915864608336,39,10259.0,0.13292817657273517,39,10259.0
480.0,26,4333.0,63.720588235294116,3.5584370316885843,26,10403.0,0.15698647165926538,26,10403.0
485.0,30,3779.0,56.40298507462686,4.057416281332867,30,10512.0,0.1997248766368298,30,10512.0
490.0,34,3941.0,56.3,4.048669650257182,34,10668.0,0.16083408846166672,34,10668.0
495.0,46,4147.0,56.80821917808219,3.1710530262200334,46,10874.0,0.1417984652823066,46,10874.0
500.0,52,4389.0,62.7,1.9442453604480623,52,11116.0,0.09510466346500634,52,11116.0
505.0,57,4665.0,61.38157894736842,2.0891118037567193,57,11392.0,0.10823786365626671,57,11392.0
510.0,64,4977.0,65.48684210526316,1.9908851111041754,64,11704.0,0.10094655550729587,64,11704.0
515.0,66,5301.0,69.75,1.3583434303974882,66,12028.0,0.053067133260681604,66,12028.0
520.0,68,5640.0,71.39240506329114,1.8017666355434134,68,12367.0,0.07478003369144705,68,12367.0
525.0,68,5980.0,76.66666666666667,1.3649143791163754,68,12707.0,0.040328472937500276,68,12707.0
530.0,70,6329.0,78.1358024691358,1.7023926568507421,70,13056.0,0.08284492972890789,70,13056.0
535.0,70,6679.0,84.54430379746836,1.3132785145862713,70,13406.0,0.06554482761486055,70,13406.0
540.0,68,6544.0,79.8048780487805,1.1001537458011708,68,13571.0,0.05639335485615572,68,13571.0
545.0,61,6496.0,79.21951219512195,2.090481644262736,61,13591.0,0.10374743104996492,61,13591.0
550.0,59,6756.0,78.55813953488372,2.9522821210963937,59,13592.0,0.10397334578583685,59,13592.0
555.0,57,6991.0,83.22619047619048,2.268975137374657,57,13864.0,0.07928978355292311,57,13864.0
560.0,62,7277.0,86.63095238095238,2.743994473329034,62,14116.0,0.09946003504248231,62,14116.0
565.0,63,7588.0,92.53658536585365,2.883339780867935,63,14424.0,0.0823445697883826,63,14424.0
570.0,64,7908.0,97.62962962962963,2.7123039876703556,64,14744.0,0.07552307898786594,64,14744.0
575.0,59,8115.0,106.77631578947368,2.078033144674188,59,14962.0,0.06704055537972002,59,14962.0
580.0,54,8331.0,106.8076923076923,2.7178511503973635,54,15086.0,0.13025422732139752,54,15086.0
585.0,58,8617.0,110.47435897435898,2.8371580270371846,58,15344.0,0.0871791463129852,58,15344.0
590.0,57,8882.0,111.025,2.4975768300938035,57,15621.0,0.09904516907187798,57,15621.0
595.0,58,9171.0,122.28,2.7538082124177627,58,15898.0,0.10609397730839497,58,15898.0
600.0,58,9461.0,124.48684210526316,2.8826546915125233,58,16188.0,0.09524805207795123,58,16188.0
605.0,60,9758.0,131.86486486486487,2.4910657137384424,60,16485.0,0.08718830881091356,60,16485.0
610.0,60,10058.0,137.78082191780823,2.350058724062386,60,16785.0,0.08041059566455949,60,16785.0
615.0,56,10281.0,142.79166666666666,2.2202457842558077,56,17034.0,0.09419776550012289,56,17034.0
620.0,57,10562.0,142.72972972972974,2.463766213064325,57,17289.0,0.09474652088902946,57,17289.0
625.0,60,10858.0,146.72972972972974,2.4595926135553365,60,17585.0,0.08469215018614751,60,17585.0
630.0,60,11158.0,150.78378378378378,1.8797634746243346,60,17885.0,0.09822929865692509,60,17885.0
635.0,58,11403.0,162.9,1.2485279564242164,58,18157.0,0.08987983743091194,58,18157.0
640.0,58,11685.0,153.75,2.4587877959155864,58,18414.0,0.1269440209732296,58,18414.0
645.0,58,11975.0,157.56578947368422,2.9964709150247066,58,18702.0,0.08762257373663217,58,18702.0
650.0,56,12241.0,156.93589743589743,2.902413134921576,56,18968.0,0.12424523180497149,56,18968.0
655.0,59,12529.0,164.85526315789474,2.4619859852861445,59,19256.0,0.09350463913055498,59,19256.0
660.0,62,12837.0,173.47297297297297,1.7827812048549667,62,19564.0,0.051612045731827094,62,19564.0
665.0,60,13103.0,177.06756756756758,1.8525261255751289,60,19852.0,0.09007945061549265,60,19852.0
670.0,58,13390.0,176.18421052631578,2.521935227109839,58,20120.0,0.08564282409139072,58,20120.0
675.0,60,13684.0,175.43589743589743,3.1202072171275894,60,20411.0,0.08465351640360645,60,20411.0
680.0,60,13984.0,188.97297297297297,2.589773681872474,60,20711.0,0.0852708731204518,60,20711.0
685.0,58,14260.0,198.05555555555554,1.700062689728526,58,20987.0,0.09312963448082075,58,20987.0
690.0,60,14560.0,202.22222222222223,2.0079973596959713,60,21287.0,0.0752538580247749,60,21287.0
695.0,62,14864.0,200.86486486486487,1.900088072698253,62,21591.0,0.06801035000692364,62,21591.0
700.0,58,15130.0,210.13888888888889,1.386534978512041,58,21873.0,0.06407643365957587,58,21873.0
705.0,58,15420.0,202.89473684210526,2.700124700755098,58,22147.0,0.10797989752994905,58,22147.0
710.0,58,15710.0,209.46666666666667,2.6613668040806013,58,22437.0,0.0883400248835682,58,22437.0
