step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.55975862968076,0,0.0,0.9112999096527415,0,0.0
10.0,0,0.0,0.0,11.820546696960648,0,0.0,0.8679248785930032,0,0.0
15.0,2,3.0,0.16666666666666666,5.668043169378803,2,3.0,0.37334562759585926,2,3.0
20.0,10,46.0,2.5555555555555554,5.9469182178326045,10,46.0,0.3373622839774613,10,46.0
25.0,12,99.0,4.5,3.493519895882524,12,99.0,0.26374858018207337,12,99.0
30.0,16,176.0,8.0,3.0302639661575586,16,176.0,0.2317953989605593,16,176.0
35.0,19,262.0,10.076923076923077,2.132222657312836,19,262.0,0.16006501790381208,19,262.0
40.0,22,365.0,11.40625,3.41436182566951,22,365.0,0.24224105498316234,22,365.0
45.0,20,368.0,10.222222222222221,3.4297635692980344,20,415.0,0.24107538373775117,20,415.0
50.0,22,470.0,12.368421052631579,3.8496374161477607,22,470.0,0.1720304463712168,22,470.0
55.0,27,595.0,14.166666666666666,4.221269053987303,27,595.0,0.15629628714544774,27,595.0
60.0,28,734.0,19.31578947368421,1.6557328602997947,28,734.0,0.030054688007163148,28,734.0
65.0,32,886.0,22.15,2.1057383139773016,32,886.0,0.1382571350544141,32,886.0
70.0,34,1048.0,26.2,1.3853305543415306,34,1048.0,0.053688288193983,34,1048.0
75.0,36,1226.0,23.576923076923077,3.916167381943405,36,1226.0,0.21606902796432367,36,1226.0
80.0,36,1406.0,28.12,2.6019404816394234,36,1406.0,0.1458427586357164,36,1406.0
85.0,42,1604.0,29.703703703703702,1.5901142016900895,42,1604.0,0.08575804105610624,42,1604.0
90.0,44,1404.0,26.0,1.2466853648923135,44,1679.0,0.04596693125258704,44,1679.0
95.0,36,1135.0,20.636363636363637,2.4662812884640246,36,1598.0,0.08426674829505569,36,1598.0
100.0,29,877.0,15.660714285714286,4.216092555143641,29,1401.0,0.13536577307191885,29,1401.0
105.0,22,791.0,15.211538461538462,5.125078062569619,22,1278.0,0.18949991714514391,22,1278.0
110.0,16,785.0,15.096153846153847,6.476553755076022,16,1165.0,0.3343839601743589,16,1165.0
115.0,18,874.0,17.836734693877553,7.427585346110808,18,1058.0,0.39827580333644835,18,1058.0
120.0,20,969.0,19.38,6.089039468536871,20,1046.0,0.26867017284380135,20,1046.0
125.0,24,1084.0,20.846153846153847,6.497098394027442,24,1084.0,0.2702190420230001,24,1084.0
130.0,24,1204.0,26.17391304347826,5.54948130398953,24,1204.0,0.23775968936683808,24,1204.0
135.0,26,1330.0,28.91304347826087,5.764737022590203,26,1330.0,0.26279246121694205,26,1330.0
140.0,26,1460.0,34.76190476190476,4.737787584655282,26,1460.0,0.19130665468528701,26,1460.0
145.0,28,1593.0,34.630434782608695,4.963839788841196,28,1593.0,0.22777522638059386,28,1593.0
150.0,28,1733.0,37.67391304347826,4.6345118817539595,28,1733.0,0.28897973303347296,28,1733.0
155.0,32,1878.0,43.674418604651166,2.1623478868474937,32,1878.0,0.12433264792195824,32,1878.0
160.0,36,2054.0,42.791666666666664,2.945753610657331,36,2054.0,0.1467340868993249,36,2054.0
165.0,36,2234.0,46.541666666666664,2.4659275292797598,36,2234.0,0.09621143509507568,36,2234.0
170.0,38,2421.0,45.679245283018865,3.5256463713419293,38,2421.0,0.12968125541223224,38,2421.0
175.0,38,2611.0,53.285714285714285,2.81424040720041,38,2611.0,0.1187584200348072,38,2611.0
180.0,40,2804.0,56.08,2.562788277156751,40,2804.0,0.07946654649260401,40,2804.0
185.0,40,3004.0,55.629629629629626,3.296490306039265,40,3004.0,0.1589654744466564,40,3004.0
190.0,42,3207.0,59.388888888888886,1.9763359184323481,42,3207.0,0.07421973128198753,42,3207.0
195.0,46,3436.0,61.357142857142854,2.3794637817679933,46,3436.0,0.11132193081562967,46,3436.0
200.0,46,3666.0,63.206896551724135,2.2734729265591396,46,3666.0,0.07375249317689361,46,3666.0
205.0,48,3904.0,67.3103448275862,2.3431358720825077,48,3904.0,0.10749139084370972,48,3904.0
210.0,48,4144.0,69.06666666666666,2.3321434826927065,48,4144.0,0.07855581003726962,48,4144.0
215.0,44,3261.0,56.224137931034484,2.1593784040201456,44,3983.0,0.08451596533322815,44,3983.0
220.0,35,2197.0,32.30882352941177,4.071588560215362,35,3452.0,0.21800511715398702,35,3452.0
225.0,33,1966.0,29.78787878787879,4.3533380603521685,33,2768.0,0.1780238924636795,33,2768.0
230.0,35,2127.0,31.279411764705884,4.949793814435352,35,2399.0,0.20215581869855578,35,2399.0
235.0,38,2315.0,38.583333333333336,4.090363737356314,38,2386.0,0.1742860668410081,38,2386.0
240.0,41,2516.0,41.24590163934426,3.7475136218545546,41,2516.0,0.08306691395315845,41,2516.0
245.0,44,2731.0,47.08620689655172,2.622925220783229,44,2731.0,0.06303201749461429,44,2731.0
250.0,50,2968.0,53.96363636363636,1.142099080807114,50,2968.0,0.06447614988838227,50,2968.0
255.0,50,3218.0,53.63333333333333,1.4238199191356717,50,3218.0,0.10710523062265503,50,3218.0
260.0,56,3485.0,54.453125,1.3655437459852462,56,3485.0,0.10180978708167708,56,3485.0
265.0,56,3765.0,57.04545454545455,1.470437993344766,56,3765.0,0.08161603595440906,56,3765.0
270.0,62,4055.0,57.92857142857143,1.4568745654650377,62,4055.0,0.05277039913416982,62,4055.0
